,file_name,pcode,pname,win1,win2,hasbd
1491,8a8180857aa35ff2017abc8a8a011c2e.pdf, SNZB-XWGX-D20212-0213   ,  新矿集团电机车实现精确定位、煤炭营销发运系统招标采购   ,山东矩阵软件工程股份有限公司,山东微敏信息科技有限公司,0
1492,8a8180857aa35ff2017ac88886fc74a7.pdf,SNZB-SNWZ-D20213-0301 ,2021 年山东能源第九批临矿集团汽车衡采购项, 福州科杰智能科技有限公司,山东金钟科技集团股份有限公司,1
1493,8a8180857aa35ff2017ac88b959e74b1.pdf,SNZB-SNWZ-D20213-0322 ,2021 年山东能源第十批新矿集团矿用隔爆型潜, 济宁安泰矿山设备制造有限公司,山东心传矿山机电设备有限公司,1
1494,8a8180857aa35ff2017ac88d208474ba.pdf,SNZB-SNWZ-D20213-0323 ,2021 年山东能源第十批临矿集团主通风机及电, 平安电气股份有限公司,卧龙电气南阳防爆集团股份有限公司,1
1495,8a8180857aa35ff2017ac88e982574c2.pdf,SNZB-SNWZ-D20213-0326 ,2021 年山东能源第十批临矿集团深度浮选系统, 徐州市亿龙机电科技有限公司,山东省章丘鼓风机股份有限公司,1
1496,8a8180857aa35ff2017ac89058d374cc.pdf,SNZB-SNWZ-D20213-0344 ,2021 年山东能源第十批临矿集团 PT 及消弧消谐, 山东吉迪电器有限公司,山东上九电气科技有限公司,1
1497,8a8180857ace1623017af0c7018a3d86.pdf, SNZB-XWGX-D20212-0170   ,  新汶矿业集团物资供销有限责任公司 恒坤化工硫铵离心机、硫铵母液贮,浙江轻机离心机制造有限公司,湘潭惠博离心机有限公司,0
1498,8a8180857ace1623017af547ec9d6081.pdf, SNZB-XKJT-D20212-0241   ,  新汶矿业集团有限责任公司矿山救护大队综合体训楼、教培楼维修加固工,济南固德建筑加固工程有限公司,济南鑫泉加固工程有限公司,0
1499,8a8180857ace1623017b04a3671e0785.pdf,SNZB-SNWZ-D20213-0374 ,山东能源 2021 年度第四批（集采分签）,,,0
1500,8a8180857ace1623017b04d21f680a0e.pdf,SNZB-SNWZ-D20213-0294 ,2021 年山东能源第九批新矿、淄矿集团无轨胶, 山西天地煤机装备有限公司,山东能源重装集团泰装工程装备制造有限公司,1
1501,8a8180857ace1623017b0588135a0e2e.pdf,SNZB-SNWZ-D20213-0377 ,2021 年山东能源第十一批淄矿集团全液压坑道, 石家庄泽林煤矿机械制造有限公司,石家庄博安煤矿机械制造有限公司,1
1502,8a8180857ace1623017b0599318a0ea4.pdf,SNZB-SNWZ-D20213-0387 ,2021 年山东能源第十一批兖矿集团配电柜、变, 兖州东方机电有限公司,山东泰开成套电器有限公司,1
1503,8a8180857ace1623017b0ae6fded3062.pdf,SNZB-LKWL-D20213-0397 ,临矿集团王楼煤矿运河小镇物业外委服务项目,济宁市聚鹏物业服务有限公司,济宁震邦物业管理有限公司,0
1504,8a8180857b10fc74017b2a02cd0b5c09.pdf,SNZB-SNWZ-D20213-0407 ,2021 年山东能源第十二批新矿集团压滤机采购, 景津环保股份有限公司,中大贝莱特压滤机有限公司,1
1505,8a8180857b10fc74017b2a0589765c16.pdf,SNZB-SNWZ-D20213-0408 ,2021 年山东能源第十二批临矿集团防爆抽出式, 卧龙电气南阳防爆集团股份有限公司,山西安运风机有限公司,1
1506,8a8180857b2a6167017b381210ff4ceb.pdf, SNZB-XWGX-D20212-0254   ,  新矿集团大数据中心、矿山综合管控平台招标采购   ,东华软件股份公司,华夏天信智能物联股份有限公司,0
1507,8a8180857b2a6167017b4cafa17b4b81.pdf, SNZB-XWGX-D20212-0268   ,  新汶矿业集团物资供销有限责任公司 2021 年新矿集团架空乘人装置（机,滕州凯源实业有限公司,宁阳鑫力橡塑有限公司,0
1508,8a8180857b2a6167017b4dc64f4956a3.pdf,SNZB-LKJT-D20213-0413 ,临矿集团彭庄煤矿矿用智能化卸压钻车招标采购项目 ,,,0
1509,8a8180857b2a6167017b4dcc74e857d6.pdf,SNZB-LKJT-D20213-0418 ,临矿集团王楼煤矿矿用地音监测系统招标采购项目 ,,,0
1510,8a8180857b2a6167017b4dd3148a5848.pdf,SNZB-LKJT-D20213-0460 ,山东玻纤集团股份有限公司 10 万吨玻璃纤维高端制,,,0
1511,8a8180857b2a6167017b57e70e30183f.pdf,SNZB-SNWZ-D20213-0289 ,2021 年山东能源第九批新矿、淄矿、临矿集团, 山东祥德机电有限公司,徐州市苏文机械设备制造有限公司,1
1512,8a8180857b2a6167017b62373c4858f5.pdf, SNZB-XWGX-D20202-0487   ,新汶矿业集团井下供电无人值守及防越级跳闸系统、矿井高压供电系统自动,北京国力矿安科技有限公司,南京弘毅电气自动化有限公司,0
1513,8a8180857b2a6167017b68231f546e38.pdf,SNZB-SLDL-D20211-0115 , ,灵武市吉顺达运销有限公司,宁夏通庆达运销有限公司,0
1514,8a8180857b2a6167017b70e32c6e7c8c.pdf, SNZB-XWGX-D20212-0254   ,新矿集团大数据中心、矿山综合管控平台招标采购   ,浪潮通用软件有限公司,北京华宇信息技术有限公司,0
1515,8a8180857b2a6167017b71f25b2c039d.pdf,SNZB-XWGX-D20212-0179   ,新汶矿业集团物资供销有限责任公司采煤机用变频器设备招标采购   ,青岛庆达电气设备有限公司,山东能源重型装备制造集团有限责任公司,0
1516,8a8180857b2a6167017b76052d7412f1.pdf, SNZB-XWGX-D20212-0284   ,  新矿集团废气治理环保设备、退火炉烟雾收集设备招标采购   ,泰安德普自动化设备有限公司,济南鲁信环保科技有限公司,0
